myshift	shift	area	start	finish	ocfrom	octo	hours
c817	"CST 0800-1700-12240-B0006-01"	12240-B0006-01	8:00	17:00	0:00	0:00	9.00
c818	CST 0800-1800-12240-B0006-01	12240-B0006-01	8:00	18:00	0:00	0:00	10.00
c819	CST 0800-1900-12240-B0006-01	12240-B0006-01	8:00	19:00	0:00	0:00	11.00
c1014	CST 1000-1400-12240-B0006-01	12240-B0006-01	10:00	14:00	0:00	0:00	4.00
c1018	CST 1000-1800-12240-B0006-01	12240-B0006-01	10:00	18:00	0:00	0:00	8.00
c1113	CST 1100-1300-12240-B0006-01	12240-B0006-01	11:00	13:00	0:00	0:00	2.00
c1116	CST 1100-1600-12240-B0006-01	12240-B0006-01	11:00	16:00	0:00	0:00	5.00
c1215	CST 1200-1500-12240-B0006-01	12240-B0006-01	12:00	15:00	0:00	0:00	3.00
c1216	CST 1200-1600-12240-B0006-01	12240-B0006-01	12:00	16:00	0:00	0:00	4.00
c1218	CST 1200-1800-SSU-B0006-01	12240-B0006-01	12:00	18:00	0:00	0:00	6.00
c1316	CST 1300-1600-12240-B0006-01	12240-B0006-01	13:00	16:00	0:00	0:00	3.00
c1416	CST 1400-1600-12240-B0006-01	12240-B0006-01	14:00	16:00	0:00	0:00	2.00
c1418	CST 1400-1800-12240-B0006-01	12240-B0006-01	14:00	18:00	0:00	0:00	4.00
c1618	CST 1600-1800-12240-B0006-01	12240-B0006-01	16:00	18:00	0:00	0:00	2.00
c1718	CST 1700-1800-12240-B0006-01	12240-B0006-01	17:00	18:00	0:00	0:00	1.00
a812	MH 0800-1200-12240-B0006-01	12240-B0006-01	8:00	12:00	0:00	0:00	4.00
i812	MH 0800-1200-12240-IC-B0006-01	12240-B0006-01	8:00	12:00	0:00	0:00	4.00
s812	MH 0800-1200-12240-SSU-B0006-01	12240-B0006-01	8:00	12:00	0:00	0:00	4.00
a814	MH 0800-1400 -12240-B0006-01	12240-B0006-01	8:00	14:00	0:00	0:00	6.00
i814	MH 0800-1400-IC-12240-B0006-01	12240-B0006-01	8:00	14:00	0:00	0:00	6.00
s814	MH 0800-1400-SSU-12240-B0006-01	12240-B0006-01	8:00	14:00	0:00	0:00	6.00
a816	MH 0800-1600-12240-B0006-01	12240-B0006-01	8:00	16:00	0:00	0:00	8.00
i816	MH 0800-1600-IC-12240-B0006-01	12240-B0006-01	8:00	16:00	0:00	0:00	8.00
s816	MH 0800-1600-SSU-12240-B0006-01	12240-B0006-01	8:00	16:00	0:00	0:00	8.00
a817	MH 0800-1700 -12240-B0006-01	12240-B0006-01	8:00	17:00	0:00	0:00	9.00
i817	MH 0800-1700 IC-12240-B0006-01	12240-B0006-01	8:00	17:00	0:00	0:00	9.00
s817	MH 0800-1700 SSU-12240-B0006-01	12240-B0006-01	8:00	17:00	0:00	0:00	9.00
a81730	MH 0800-1730-12240-B0006-01	12240-B0006-01	8:00	17:30	0:00	0:00	9.50
a81730	MH 0800-1730-IC-12240-B0006-01	12240-B0006-01	8:00	17:30	0:00	0:00	9.50
s81730	MH 0800-1730-SSU-12240-B0006-01	12240-B0006-01	8:00	17:30	0:00	0:00	9.50
a818	MH 0800-1800 -12240-B0006-01	12240-B0006-01	8:00	18:00	0:00	0:00	10.00
i818	MH 0800-1800 IC-12240-B0006-01	12240-B0006-01	8:00	18:00	0:00	0:00	10.00
s818	MH 0800-1800 SSU-12240-B0006-01	12240-B0006-01	8:00	18:00	0:00	0:00	10.00
a915	MH 0900-1500 -12240-B0006-01	12240-B0006-01	9:00	15:00	0:00	0:00	6.00
a91630	MH 0900-1630 -12240-B0006-01	12240-B0006-01	9:00	16:30	0:00	0:00	7.50
a917	MH 0900-1700 -12240-B0006-01	12240-B0006-01	9:00	17:00	0:00	0:00	8.00
a918	MH 0900-1800 -12240-B0006-01	12240-B0006-01	9:00	18:00	0:00	0:00	9.00
i918	MH 0900-1800 IC -12240-B0006-01	12240-B0006-01	9:00	18:00	0:00	0:00	9.00
s918	MH 0900-1800 SSU -12240-B0006-01	12240-B0006-01	9:00	18:00	0:00	0:00	9.00
a1020	MH 1000-2000 -12240-B0006-01	12240-B0006-01	10:00	20:00	0:00	0:00	10.00
a1217	MH 1200-1700 -12240-B0006-01	12240-B0006-01	12:00	17:00	0:00	0:00	5.00
p1224	MH 1200-2400 -12240-B0006-01	12240-B0006-01	12:00	0:00	0:00	0:00	12.00
p1323	MH 1300-2300 -12240-B0006-01	12240-B0006-01	13:00	23:00	0:00	0:00	10.00
p1324	MH 1300-2400-12240-B0006-01	12240-B0006-01	13:00	0:00	0:00	0:00	11.00
p1424	MH 1400-2400 -12240-B0006-01	12240-B0006-01	14:00	0:00	0:00	0:00	10.00
p1524	MH 1500-2400 -12240-B0006-01	12240-B0006-01	15:00	0:00	0:00	0:00	9.00
p1624	MH 1600-2400 -12240-B0006-01	12240-B0006-01	16:00	0:00	0:00	0:00	8.00
p1724	MH 1700-2400 -12240-B0006-01	12240-B0006-01	17:00	0:00	0:00	0:00	7.00
n2308	MH 2300-0830 -12240-B0006-01	12240-B0006-01	23:00	8:30	0:00	0:00	9.50
oncall	OnCall-12240-B0006-01	12240-B0006-01	0:00	0:00	23:59	7:59	0.00
